bench,weight,type,root00,root01,root02,root03,root04,root05,root06,root07,root08,root09,root10,root11,root12,root13,root14,root15,root16,root17,root18,root19,root20,root21,root22,root23,root24
specify,3,action,,,,,,,,,,,,,,,,,,,,,,,,,
staff,3,action,staffed,staffing,,,,,,,,,,,,,,,,,,,,,,,
standardize,3,action,,,,,,,,,,,,,,,,,,,,,,,,,
stop,3,stop or avoid,stopped,stops,stopping,,,,,,,,,,,,,,,,,,,,,,
strategy,1,action or approach,strategies,strategically,strategic,strategize,,,,,,,,,,,,,,,,,,,,,
structure,1,action,structuring,structured,,,,,,,,,,,,,,,,,,,,,,,
study,3,action,studies,,,,,,,,,,,,,,,,,,,,,,,,
suggest,5,direct label,suggested,suggesting,,,,,,,,,,,,,,,,,,,,,,,
support,1,action,supporting,supported,,,,,,,,,,,,,,,,,,,,,,,
sustainment,4,action,sustainable,sustainability,sustainabilities,sustain,sustaining,sustainments,sustains,sustained,,,,,,,,,,,,,,,,,
synchronize,3,action,synchronizes,synchronizing,,,,,,,,,,,,,,,,,,,,,,,
take,3,action,takes,taking,,,,,,,,,,,,,,,,,,,,,,,
task,3,action,tasked,tasks,tasking,,,,,,,,,,,,,,,,,,,,,,
test,3,action,tests,testings,tested,,,,,,,,,,,,,,,,,,,,,,
train,3,action,trained,trains,training,trainings,,,,,,,,,,,,,,,,,,,,,
transition,3,action,,,,,,,,,,,,,,,,,,,,,,,,,
update,3,action,updated,updates,updating,,,,,,,,,,,,,,,,,,,,,,
use,3,action,,,,,,,,,,,,,,,,,,,,,,,,,
urge,5,direct label,urges,urging,urged,,,,,,,,,,,,,,,,,,,,,,
